id	origin	end	depth	dip	dip_dir
F1a	[308,16772]	[3338,16106]	7250	53	SW
F1b	[3338,16106]	[8116,16556]	7150	53	S
F1c	[8116,16556]	[12481,17589]	7050	53	SE
F1d	[12481,17589]	[17478,21367]	7300	53	SE
F2	[5535,14938]	[7824,16209]	7500	52	SE
F3	[15162,12008]	[17994,14322]	7800	55	SE
F4a	[713,13675]	[3623,14480]	7400	56	SE
F4b	[3623,14480]	[6489,14394]	7400	56	S
F4c	[6489,14394]	[10095,12178]	7500	56	SW
F4d	[10095,12178]	[14704,11738]	7700	56	S
F4e	[14704,11738]	[18768,9753]	8300	56	SW
F4f	[18768,9753]	[22832,7690]	8350	56	SW
F5a	[462, 13250]	[2738,10767]	8000	56	SW
F5b	[2738,10767]	[4596,7317]	8200	56	SW
F6a	[2408,11310]	[5771,11029]	8000	30	SW
F6b	[5771,11029]	[8638,11059]	8100	30	S
F6c	[8638,11059]	[11090,11633]	8150	30	SE
F7a	[2988,10960]	[6842,8356]	8200	50	SW
F7b	[6842,8356]	[8538,6029]	8150	50	SW
F7c	[8538,6029]	[11813,4162]	8200	50	SW
F8a	[9939,2580]	[12936,4584]	8500	56	SE
F8b	[12936,4584]	[15436,7092]	8400	56	SE
F8c	[15436,7092]	[22831,7497]	8400	56	S
F9	[13586,93]	[15185,6435]	8450	37	NW
