x,y,u1,u2,sxx,syy,sxy
0,-50,7.96696e-26,2.21005e-25,165393,419133,-3.39372e-10
0,-49.9,1.09169e-25,1.20919e-06,165426,419343,-242.679
0,-49.8,1.36754e-25,2.41894e-06,165461,419549,-464.427
0,-49.7,1.62426e-25,3.62925e-06,165498,419752,-665.244
0,-49.6,1.86184e-25,4.84012e-06,165537,419952,-845.129
0,-49.5,2.08028e-25,6.05154e-06,165578,420148,-1004.08
0,-49.4,2.27959e-25,7.26353e-06,165621,420340,-1142.11
0,-49.3,2.45976e-25,8.47608e-06,165665,420529,-1259.2
0,-49.2,2.62079e-25,9.68919e-06,165712,420715,-1355.36
0,-49.1,2.76268e-25,1.09029e-05,165760,420897,-1430.59
0,-49,2.88544e-25,1.21171e-05,165811,421075,-1484.88
0,-48.9,2.98906e-25,1.33319e-05,165863,421250,-1518.25
0,-48.8,3.07354e-25,1.45472e-05,165917,421421,-1530.68
0,-48.7,3.13889e-25,1.57631e-05,165973,421589,-1522.19
0,-48.6,3.1851e-25,1.69796e-05,166032,421754,-1492.76
0,-48.5,3.21217e-25,1.81966e-05,166092,421915,-1442.4
0,-48.4,3.22011e-25,1.94142e-05,166154,422072,-1371.11
0,-48.3,3.20891e-25,2.06323e-05,166218,422226,-1278.89
0,-48.2,3.17857e-25,2.18511e-05,166284,422376,-1165.73
0,-48.1,3.12909e-25,2.30703e-05,166351,422523,-1031.65
0,-48,3.06048e-25,2.42901e-05,166421,422666,-876.632
0,-47.9,2.97273e-25,2.55105e-05,166493,422806,-700.685
0,-47.8,2.86584e-25,2.67315e-05,166567,422942,-503.806
0,-47.7,2.73982e-25,2.7953e-05,166642,423075,-285.996
0,-47.6,2.59466e-25,2.9175e-05,166720,423205,-47.2546
0,-47.5,2.43036e-25,3.03977e-05,166799,423330,212.418
0,-47.4,2.24692e-25,3.16208e-05,166881,423453,493.022
0,-47.3,2.04435e-25,3.28446e-05,166964,423571,794.558
0,-47.2,1.82264e-25,3.40689e-05,167049,423687,1117.02
0,-47.1,1.62862e-25,3.52935e-05,167175,423836,1413.06
0,-47,1.84716e-25,3.65166e-05,167661,424326,1283.35
0,-46.9,2.04921e-25,3.77409e-05,168147,424815,1153.63
0,-46.8,6.46041e-22,3.89664e-05,168633,425305,1023.91
0,-46.7,6.49824e-22,4.01931e-05,169119,425795,894.195
0,-46.6,6.53605e-22,4.14209e-05,169604,426285,764.478
0,-46.5,2.69256e-25,4.26499e-05,170090,426775,634.762
0,-46.4,2.81218e-25,4.38801e-05,170576,427265,505.045
0,-46.3,2.91532e-25,4.51115e-05,171062,427755,375.328
0,-46.2,6.68714e-22,4.6344e-05,171548,428245,245.612
0,-46.1,6.72487e-22,4.75778e-05,172033,428735,115.895
0,-46,3.1258e-25,4.88127e-05,172519,429224,-13.8215
0,-45.9,3.16299e-25,5.00488e-05,173005,429714,-143.538
0,-45.8,6.83797e-22,5.12861e-05,173491,430204,-273.255
0,-45.7,3.18791e-25,5.25245e-05,173977,430694,-402.972
0,-45.6,3.45823e-22,5.37641e-05,174463,431184,-532.688
0,-45.5,3.47703e-22,5.50049e-05,174948,431674,-662.405
0,-45.4,3.10164e-25,5.62469e-05,175434,432164,-792.122
0,-45.3,3.51458e-22,5.74901e-05,175920,432654,-921.838
0,-45.2,2.9617e-25,5.87344e-05,176406,433144,-1051.55
0,-45.1,3.55207e-22,5.998e-05,176892,433633,-1181.27
0,-45,1.78677e-22,6.12267e-05,177377,434123,-1310.99
0,-44.9,2.62813e-25,6.24746e-05,177863,434613,-1440.7
0,-44.8,5.41103e-22,6.37236e-05,178349,435103,-1570.42
0,-44.7,-1.80994e-22,6.49739e-05,178835,435593,-1700.14
0,-44.6,4.55634e-22,6.62253e-05,179321,436083,-1829.85
0,-44.5,2.29082e-22,6.74779e-05,179806,436573,-1959.57
0,-44.4,1.74246e-25,6.87316e-05,180292,437063,-2089.29
0,-44.3,1.844e-25,6.99839e-05,181017,437708,-2013.72
0,-44.2,2.08334e-25,7.12368e-05,181851,438432,-1851.18
0,-44.1,2.30416e-25,7.24919e-05,182682,439163,-1701.29
0,-44,2.50644e-25,7.3749e-05,183509,439900,-1564.05
0,-43.9,2.6902e-25,7.50082e-05,184332,440642,-1439.48
0,-43.8,2.85543e-25,7.62695e-05,185152,441392,-1327.56
0,-43.7,3.00213e-25,7.75328e-05,185967,442147,-1228.29
0,-43.6,3.1303e-25,7.87983e-05,186779,442908,-1141.69
0,-43.5,3.23994e-25,8.00659e-05,187587,443676,-1067.74
0,-43.4,3.33106e-25,8.13356e-05,188391,444449,-1006.44
0,-43.3,3.40365e-25,8.26073e-05,189191,445229,-957.803
0,-43.2,3.4577e-25,8.38812e-05,189988,446015,-921.822
0,-43.1,3.49323e-25,8.51571e-05,190780,446808,-898.497
0,-43,3.51024e-25,8.64351e-05,191569,447606,-887.828
0,-42.9,3.50871e-25,8.77153e-05,192354,448411,-889.816
0,-42.8,3.48866e-25,8.89975e-05,193135,449221,-904.46
0,-42.7,3.45007e-25,9.02818e-05,193913,450038,-931.761
0,-42.6,3.39296e-25,9.15682e-05,194686,450861,-971.718
0,-42.5,3.31732e-25,9.28567e-05,195456,451691,-1024.33
0,-42.4,3.22316e-25,9.41473e-05,196222,452526,-1089.6
0,-42.3,3.11046e-25,9.544e-05,196984,453368,-1167.53
0,-42.2,2.97924e-25,9.67347e-05,197743,454216,-1258.11
0,-42.1,2.82948e-25,9.80316e-05,198497,455069,-1361.35
0,-42,2.6612e-25,9.93305e-05,199248,455930,-1477.25
0,-41.9,2.47439e-25,0.000100632,199995,456796,-1605.8
0,-41.8,2.26906e-25,0.000101935,200738,457668,-1747.01
0,-41.7,2.04519e-25,0.00010324,201477,458547,-1900.87
0,-41.6,6.25559e-22,0.000104547,202336,459496,-1988.19
0,-41.5,2.22816e-25,0.000105855,203551,460633,-1853.26
0,-41.4,2.49157e-25,0.000107166,204765,461772,-1720.75
0,-41.3,-6.4406e-22,0.000108479,205980,462912,-1590.67
0,-41.2,2.95499e-25,0.000109796,207195,464054,-1463.01
0,-41.1,3.155e-25,0.000111115,208410,465197,-1337.78
0,-41,6.63636e-22,0.000112437,209625,466342,-1214.97
0,-40.9,-6.69276e-22,0.000113762,210840,467488,-1094.59
0,-40.8,3.62827e-25,0.00011509,212056,468636,-976.628
0,-40.7,3.74376e-25,0.000116421,213271,469785,-861.097
0,-40.6,3.83813e-25,0.000117754,214486,470935,-747.99
0,-40.5,3.91136e-25,0.000119091,215702,472087,-637.309
0,-40.4,3.96346e-25,0.00012043,216917,473240,-529.054
0,-40.3,3.99443e-25,0.000121772,218133,474395,-423.223
0,-40.2,4.00428e-25,0.000123117,219348,475551,-319.818
0,-40.1,-3.59706e-22,0.000124465,220564,476709,-218.839
0,-40,3.63663e-22,0.000125815,221780,477868,-120.284
