x,y,sigxx
0, 0, 0
0.1, 0, -1.00009e+07
0.2, 0, -1.00009e+07
0.3, 0, -1.00018e+07
0.4, 0, -1.00018e+07
0.5, 0, -1.00028e+07
0.6, 0, -1.00027e+07
0.7, 0, -1.00027e+07
0.8, 0, -1.00014e+07
0.9, 0, -9.99991e+06
1, 0, -9.99991e+06
1.1, 0, -9.99506e+06
1.2, 0, -9.99506e+06
1.3, 0, -9.99159e+06
1.4, 0, -9.9821e+06
1.5, 0, -9.9821e+06
1.6, 0, -9.97603e+06
1.7, 0, -9.96062e+06
1.8, 0, -9.96062e+06
1.9, 0, -9.95124e+06
2, 0, -9.95124e+06
2.1, 0, -9.92894e+06
2.2, 0, -9.91593e+06
2.3, 0, -9.91593e+06
2.4, 0, -9.88611e+06
2.5, 0, -9.88611e+06
2.6, 0, -9.86921e+06
2.7, 0, -9.83141e+06
2.8, 0, -9.83141e+06
2.9, 0, -9.81043e+06
3, 0, -9.81043e+06
3.1, 0, -9.76404e+06
3.2, 0, -9.73858e+06
3.3, 0, -9.73858e+06
3.4, 0, -9.68278e+06
3.5, 0, -9.68278e+06
3.6, 0, -9.65239e+06
3.7, 0, -9.5872e+06
3.8, 0, -9.5872e+06
3.9, 0, -9.55244e+06
4, 0, -9.55244e+06
4.1, 0, -9.47875e+06
4.2, 0, -9.43978e+06
4.3, 0, -9.43978e+06
4.4, 0, -9.35797e+06
4.5, 0, -9.35797e+06
4.6, 0, -9.31511e+06
4.7, 0, -9.31511e+06
4.8, 0, -9.2246e+06
4.9, 0, -9.17689e+06
5, 0, -9.17689e+06
5.1, 0, -9.07777e+06
5.2, 0, -9.07777e+06
5.3, 0, -9.02626e+06
5.4, 0, -9.02626e+06
5.5, 0, -8.9203e+06
5.6, 0, -8.86571e+06
5.7, 0, -8.86571e+06
5.8, 0, -8.75403e+06
5.9, 0, -8.75403e+06
6, 0, -8.69685e+06
6.1, 0, -8.69685e+06
6.2, 0, -8.57972e+06
6.3, 0, -8.51972e+06
6.4, 0, -8.51972e+06
6.5, 0, -8.39676e+06
6.6, 0, -8.39676e+06
6.7, 0, -8.33366e+06
6.8, 0, -8.33366e+06
6.9, 0, -8.20615e+06
7, 0, -8.20615e+06
7.1, 0, -8.14164e+06
7.2, 0, -8.0117e+06
7.3, 0, -8.0117e+06
