x,y,u1,u2
6.12323e-18,10,2.34895e-23,-0.0020992
0.000314159,9.99995,1.26216e-06,-0.00209867
0.000628314,9.9998,3.23402e-06,-0.00209823
0.000942464,9.99956,5.91312e-06,-0.00209788
0.0012566,9.99921,9.29647e-06,-0.00209761
0.00157073,9.99877,1.33805e-05,-0.00209742
0.00188484,9.99822,1.81612e-05,-0.00209732
0.00219894,9.99758,2.36338e-05,-0.00209731
0.00251301,9.99684,2.97932e-05,-0.00209738
0.00282706,9.996,3.66336e-05,-0.00209753
0.00314108,9.99507,4.41489e-05,-0.00209776
0.00345506,9.99403,5.2332e-05,-0.00209808
0.00376902,9.99289,6.11758e-05,-0.00209848
0.00408294,9.99166,7.06722e-05,-0.00209896
0.00439681,9.99033,8.08128e-05,-0.00209952
0.00471065,9.9889,9.15886e-05,-0.00210016
0.00502443,9.98737,0.00010299,-0.00210089
0.00533817,9.98574,0.000115007,-0.00210169
0.00565185,9.98402,0.000127629,-0.00210257
0.00596548,9.98219,0.000140845,-0.00210354
0.00627905,9.98027,0.000154643,-0.00210458
0.00659256,9.97825,0.00016901,-0.0021057
0.006906,9.97613,0.000183935,-0.0021069
0.00721938,9.97391,0.000199403,-0.00210818
0.00753268,9.97159,0.000215402,-0.00210953
0.00784591,9.96917,0.000231915,-0.00211096
0.00815906,9.96666,0.000248929,-0.00211247
0.00847213,9.96405,0.000266428,-0.00211405
0.00878512,9.96134,0.000284396,-0.00211572
0.00909802,9.95853,0.000302816,-0.00211745
0.00941083,9.95562,0.000321671,-0.00211926
0.00972355,9.95261,0.000340945,-0.00212115
0.0100362,9.94951,0.000360617,-0.00212311
0.0103487,9.94631,0.000380671,-0.00212514
0.0106611,9.94301,0.000401086,-0.00212725
0.0109734,9.93961,0.000421842,-0.00212943
0.0112856,9.93611,0.000442921,-0.00213168
0.0115977,9.93252,0.0004643,-0.00213401
0.0119097,9.92883,0.000485958,-0.00213641
0.0122216,9.92504,0.000507874,-0.00213887
0.0125333,9.92115,0.000530026,-0.00214141
0.0128449,9.91716,0.000552389,-0.00214403
0.0131564,9.91308,0.000574941,-0.00214671
0.0134678,9.90889,0.000597658,-0.00214946
0.013779,9.90461,0.000620516,-0.00215228
0.0140901,9.90024,0.000643489,-0.00215517
0.0144011,9.89576,0.000666551,-0.00215812
0.0147119,9.89119,0.000689678,-0.00216115
0.0150226,9.88652,0.000712841,-0.00216425
0.0153331,9.88175,0.000736015,-0.00216741
0.0156434,9.87688,0.000759172,-0.00217064
0.0159537,9.87192,0.000782283,-0.00217393
0.0162637,9.86686,0.00080532,-0.00217729
0.0165736,9.8617,0.000828254,-0.00218072
0.0168833,9.85645,0.000851056,-0.00218421
0.0171929,9.85109,0.000873694,-0.00218777
0.0175023,9.84564,0.000896139,-0.00219139
0.0178115,9.8401,0.000918337,-0.00219496
0.0181206,9.83445,0.000939964,-0.00219779
0.0184294,9.82871,0.000961632,-0.00220047
0.0187381,9.82287,0.000983418,-0.00220298
0.0190466,9.81694,0.00100533,-0.00220544
0.0193549,9.81091,0.00102734,-0.00220783
0.0196631,9.80478,0.00104946,-0.00221014
0.019971,9.79855,0.00107166,-0.00221238
0.0202787,9.79223,0.00109394,-0.00221453
0.0205863,9.78581,0.00111628,-0.00221659
0.0208936,9.77929,0.00113866,-0.00221855
0.0212007,9.77268,0.00116108,-0.00222041
0.0215076,9.76597,0.00118351,-0.00222216
0.0218143,9.75917,0.00120596,-0.00222378
0.0221208,9.75227,0.0012284,-0.00222529
0.0224271,9.74527,0.00125081,-0.00222666
0.0227331,9.73817,0.0012732,-0.00222789
0.0230389,9.73099,0.00129553,-0.00222897
0.0233445,9.7237,0.0013178,-0.0022299
0.0236499,9.71632,0.00133999,-0.00223067
0.023955,9.70884,0.00136209,-0.00223127
0.0242599,9.70127,0.00138408,-0.0022317
0.0245646,9.6936,0.00140594,-0.00223194
0.024869,9.68583,0.00142767,-0.002232
0.0251732,9.67797,0.00144925,-0.00223185
0.0254771,9.67001,0.00147065,-0.0022315
0.0257807,9.66196,0.00149187,-0.00223093
0.0260842,9.65382,0.00151288,-0.00223014
0.0263873,9.64557,0.00153368,-0.00222912
0.0266902,9.63724,0.00155424,-0.00222786
0.0269928,9.6288,0.00157455,-0.00222635
0.0272952,9.62028,0.00159463,-0.00222472
0.0275973,9.61165,0.00161471,-0.00222317
0.0278991,9.60294,0.00163484,-0.00222159
0.0282007,9.59412,0.00165502,-0.00221998
0.0285019,9.58522,0.00167524,-0.00221833
0.0288029,9.57622,0.00169549,-0.00221664
0.0291036,9.56712,0.00171577,-0.00221492
0.029404,9.55793,0.00173607,-0.00221316
0.0297042,9.54865,0.00175639,-0.00221137
0.030004,9.53927,0.00177672,-0.00220953
0.0303035,9.52979,0.00179705,-0.00220766
0.0306028,9.52023,0.00181738,-0.00220574
0.0309017,9.51057,0.0018377,-0.00220379
0.0312003,9.50081,0.001858,-0.00220179
0.0314987,9.49096,0.00187828,-0.00219974
0.0317967,9.48102,0.00189854,-0.00219765
0.0320944,9.47098,0.00191876,-0.00219551
0.0323917,9.46085,0.00193894,-0.00219333
0.0326888,9.45063,0.00195907,-0.0021911
0.0329855,9.44031,0.00197914,-0.00218882
0.033282,9.42991,0.00199916,-0.00218648
0.033578,9.4194,0.00201911,-0.0021841
0.0338738,9.40881,0.00203898,-0.00218166
0.0341692,9.39812,0.00205878,-0.00217917
0.0344643,9.38734,0.00207848,-0.00217662
0.034759,9.37646,0.00209809,-0.00217402
0.0350534,9.3655,0.0021176,-0.00217135
0.0353475,9.35444,0.002137,-0.00216863
0.0356412,9.34329,0.00215628,-0.00216585
0.0359345,9.33205,0.00217544,-0.00216301
0.0362275,9.32071,0.00219446,-0.00216011
0.0365202,9.30928,0.00221335,-0.00215714
0.0368125,9.29776,0.00223212,-0.00215439
0.0371044,9.28615,0.00225087,-0.0021519
0.0373959,9.27445,0.00226965,-0.00214938
0.0376871,9.26266,0.00228845,-0.00214684
0.0379779,9.25077,0.00230726,-0.00214426
0.0382683,9.2388,0.00232607,-0.00214166
0.0385584,9.22673,0.0023449,-0.00213903
0.0388481,9.21457,0.00236373,-0.00213636
0.0391374,9.20232,0.00238256,-0.00213367
0.0394263,9.18998,0.00240138,-0.00213094
0.0397148,9.17755,0.0024202,-0.00212818
0.0400029,9.16502,0.00243901,-0.0021254
0.0402906,9.15241,0.00245781,-0.00212257
0.040578,9.13971,0.00247659,-0.00211972
0.0408649,9.12692,0.00249535,-0.00211683
0.0411514,9.11403,0.00251409,-0.00211391
0.0414376,9.10106,0.0025328,-0.00211096
0.0417233,9.088,0.00255148,-0.00210797
0.0420086,9.07484,0.00257013,-0.00210495
0.0422935,9.0616,0.00258873,-0.00210189
0.0425779,9.04827,0.0026073,-0.00209879
0.042862,9.03485,0.00262582,-0.00209566
0.0431456,9.02134,0.0026443,-0.0020925
0.0434288,9.00774,0.00266272,-0.00208929
0.0437116,8.99405,0.00268109,-0.00208605
0.0439939,8.98028,0.0026994,-0.00208277
0.0442758,8.96641,0.00271764,-0.00207946
0.0445573,8.95246,0.00273582,-0.0020761
0.0448383,8.93841,0.00275393,-0.00207271
0.0451189,8.92428,0.00277197,-0.00206927
0.045399,8.91007,0.00278993,-0.0020658
0.0456787,8.89576,0.0028078,-0.00206228
0.045958,8.88136,0.00282559,-0.00205872
0.0462368,8.86688,0.00284336,-0.00205548
0.0465151,8.85231,0.00286113,-0.00205224
0.046793,8.83766,0.00287889,-0.00204897
0.0470704,8.82291,0.00289665,-0.00204567
0.0473473,8.80808,0.0029144,-0.00204235
0.0476238,8.79316,0.00293214,-0.002039
0.0478998,8.77816,0.00294987,-0.00203563
0.0481754,8.76307,0.00296759,-0.00203223
0.0484504,8.74789,0.0029853,-0.0020288
0.048725,8.73262,0.00300298,-0.00202534
0.0489991,8.71727,0.00302065,-0.00202186
0.0492727,8.70184,0.00303829,-0.00201836
0.0495459,8.68632,0.00305591,-0.00201482
0.0498185,8.67071,0.0030735,-0.00201126
0.0500907,8.65501,0.00309107,-0.00200767
0.0503623,8.63923,0.0031086,-0.00200405
0.0506335,8.62337,0.0031261,-0.0020004
0.0509041,8.60742,0.00314356,-0.00199673
0.0511743,8.59139,0.00316099,-0.00199302
0.051444,8.57527,0.00317837,-0.00198929
0.0517131,8.55906,0.00319572,-0.00198553
0.0519817,8.54277,0.00321302,-0.00198174
0.0522499,8.5264,0.00323027,-0.00197792
0.0525175,8.50994,0.00324747,-0.00197408
0.0527846,8.4934,0.00326462,-0.0019702
0.0530511,8.47678,0.00328172,-0.00196629
0.0533172,8.46007,0.00329876,-0.00196235
0.0535827,8.44328,0.00331575,-0.00195839
0.0538477,8.4264,0.00333267,-0.00195439
0.0541121,8.40945,0.00334953,-0.00195036
0.054376,8.3924,0.00336633,-0.0019463
