x,y,sigxx,sigyy,sigxy,ux,vy
-1, -1, -1.22766e+07, -2.83959e+06, -1.06588e-13, -1.02305e-25, -2.36632e-26
-1, -0.98, -1.22759e+07, -2.83978e+06, -9.4998, 4.36412e-21, 4.40742e-06
-1, -0.96, -1.22753e+07, -2.83998e+06, -18.9996, 4.36401e-21, 8.81435e-06
-1, -0.94, -1.22739e+07, -2.84038e+06, -15.4233, -3.35472e-25, 1.322e-05
-1, -0.92, -1.22718e+07, -2.84099e+06, 1.22914, 2.18087e-21, 1.76228e-05
-1, -0.9, -1.22697e+07, -2.84159e+06, 17.8816, 2.90569e-22, 2.20228e-05
-1, -0.88, -1.22657e+07, -2.84276e+06, 51.8215, -4.00667e-25, 2.64185e-05
-1, -0.86, -1.22617e+07, -2.84393e+06, 85.7614, -3.35189e-25, 3.08093e-05
-1, -0.84, -1.22569e+07, -2.8454e+06, 74.908, -3.34985e-25, 3.51947e-05
-1, -0.82, -1.22513e+07, -2.84716e+06, 19.2615, -4.00245e-25, 3.95728e-05
-1, -0.8, -1.22457e+07, -2.84893e+06, -36.3851, -4.35111e-21, 4.39436e-05
-1, -0.78, -1.22384e+07, -2.85143e+06, -51.5086, -3.99775e-25, 4.83052e-05
-1, -0.76, -1.2231e+07, -2.85393e+06, -66.6321, 1.08579e-21, 5.26568e-05
-1, -0.74, -1.22227e+07, -2.85687e+06, -77.3628, -3.34029e-25, 5.69977e-05
-1, -0.72, -1.22134e+07, -2.86023e+06, -83.7006, -3.99031e-25, 6.13256e-05
-1, -0.7, -1.22042e+07, -2.8636e+06, -90.0384, -2.03409e-25, 6.56405e-05
-1, -0.68, -1.21929e+07, -2.86802e+06, -100.209, -3.98278e-25, 6.99397e-05
-1, -0.66, -1.21816e+07, -2.87244e+06, -110.379, 1.08014e-21, 7.42225e-05
-1, -0.64, -1.21694e+07, -2.87744e+06, -48.7027, -3.32536e-25, 7.84878e-05
-1, -0.62, -1.21563e+07, -2.883e+06, 84.8208, -3.97167e-25, 8.27328e-05
-1, -0.6, -1.21431e+07, -2.88856e+06, 218.344, -2.02381e-25, 8.69575e-05
-1, -0.58, -1.21275e+07, -2.89583e+06, 172.137, -3.96103e-25, 9.11589e-05
-1, -0.56, -1.21118e+07, -2.9031e+06, 125.93, -3.31183e-25, 9.53359e-05
-1, -0.54, -1.20951e+07, -2.91073e+06, 136.218, -3.30462e-25, 9.94874e-05
-1, -0.52, -1.20775e+07, -2.91873e+06, 203, 2.00491e-21, 0.00010361
-1, -0.5, -1.20598e+07, -2.92672e+06, 269.781, 2.25484e-23, 0.000107705
-1, -0.48, -1.20403e+07, -2.93679e+06, 183.397, -3.74472e-21, 0.000111768
-1, -0.46, -1.20207e+07, -2.94685e+06, 97.0119, -9.34379e-22, 0.000115798
-1, -0.44, -1.20003e+07, -2.95717e+06, 22.2824, -4.85229e-21, 0.000119796
-1, -0.42, -1.19791e+07, -2.96773e+06, -40.7919, -2.4206e-21, 0.000123757
-1, -0.4, -1.19579e+07, -2.9783e+06, -103.866, -1.99306e-25, 0.000127682
-1, -0.38, -1.19362e+07, -2.9905e+06, -44.3488, -3.89832e-25, 0.000131569
-1, -0.36, -1.19144e+07, -3.0027e+06, 15.1688, -3.14594e-21, 0.000135418
-1, -0.34, -1.18923e+07, -3.01484e+06, 36.5576, -3.24875e-25, 0.000139228
-1, -0.32, -1.18701e+07, -3.02692e+06, 19.8179, -2.46119e-21, 0.000142998
-1, -0.3, -1.18478e+07, -3.039e+06, 3.07811, -1.97465e-25, 0.000146728
-1, -0.28, -1.18261e+07, -3.05144e+06, 23.563, -3.86231e-25, 0.000150418
-1, -0.26, -1.18044e+07, -3.06388e+06, 44.048, 1.03478e-21, 0.000154069
-1, -0.24, -1.17839e+07, -3.07595e+06, 65.6897, -3.21931e-25, 0.000157681
-1, -0.22, -1.17644e+07, -3.08766e+06, 88.4882, -3.84364e-25, 0.000161256
-1, -0.2, -1.1745e+07, -3.09936e+06, 111.287, -1.95745e-25, 0.000164794
-1, -0.18, -1.1728e+07, -3.10978e+06, 130.202, -3.83002e-25, 0.000168297
-1, -0.16, -1.17111e+07, -3.12021e+06, 149.118, -3.20204e-25, 0.000171768
-1, -0.14, -1.16959e+07, -3.12964e+06, 160.403, -3.19538e-25, 0.000175207
-1, -0.12, -1.16826e+07, -3.13809e+06, 164.058, -3.81623e-25, 0.00017862
-1, -0.1, -1.16693e+07, -3.14654e+06, 167.712, 8.14596e-21, 0.000182005
-1, -0.08, -1.16604e+07, -3.15247e+06, 170.631, 4.06762e-21, 0.000185371
-1, -0.06, -1.16515e+07, -3.15841e+06, 173.551, 1.01541e-21, 0.000188717
-1, -0.04, -1.16444e+07, -3.16311e+06, 291.859, -3.18211e-25, 0.000192047
-1, -0.02, -1.1639e+07, -3.16658e+06, 525.557, 2.51556e-21, 0.000195368
-1, 0, -1.16336e+07, -3.17004e+06, 759.255, -1.93943e-25, 0.000198678
-1, 0.02, -1.16363e+07, -3.16997e+06, 901.863, -3.80115e-25, 0.000201983
-1, 0.04, -1.1639e+07, -3.16991e+06, 1044.47, -3.18087e-25, 0.000205292
-1, 0.06, -1.1643e+07, -3.16873e+06, 970.295, -3.18255e-25, 0.000208601
-1, 0.08, -1.16482e+07, -3.16646e+06, 679.335, -3.80461e-25, 0.000211919
-1, 0.1, -1.16535e+07, -3.16419e+06, 388.375, -1.94258e-25, 0.000215247
-1, 0.12, -1.16653e+07, -3.15887e+06, 173.886, -3.81097e-25, 0.000218588
-1, 0.14, -1.16771e+07, -3.15356e+06, -40.6021, -1.01906e-21, 0.000221947
-1, 0.16, -1.169e+07, -3.1475e+06, -112.697, -3.19615e-25, 0.000225324
-1, 0.18, -1.17039e+07, -3.1407e+06, -42.3974, -4.08814e-21, 0.000228725
-1, 0.2, -1.17179e+07, -3.1339e+06, 27.9018, -1.95317e-25, 0.00023215
-1, 0.22, -1.17358e+07, -3.1256e+06, -0.360257, -3.83437e-25, 0.000235601
-1, 0.24, -1.17538e+07, -3.11729e+06, -28.6224, -3.21119e-25, 0.000239081
-1, 0.26, -1.17723e+07, -3.10877e+06, -78.4323, -3.21922e-25, 0.00024259
-1, 0.28, -1.17914e+07, -3.10004e+06, -149.79, -3.85103e-25, 0.000246129
-1, 0.3, -1.18106e+07, -3.0913e+06, -221.148, -9.80011e-21, 0.0002497
-1, 0.32, -1.18309e+07, -3.08261e+06, -246.902, -3.86564e-25, 0.000253302
-1, 0.34, -1.18512e+07, -3.07393e+06, -272.656, 1.23029e-21, 0.000256935
-1, 0.36, -1.18716e+07, -3.06556e+06, -289.45, -3.24663e-25, 0.000260601
-1, 0.38, -1.18921e+07, -3.05752e+06, -297.285, -4.17641e-21, 0.000264296
-1, 0.4, -1.19125e+07, -3.04947e+06, -305.12, -1.98548e-25, 0.000268022
-1, 0.42, -1.19325e+07, -3.04296e+06, -182.547, -3.8988e-25, 0.000271778
