x,y,sigxx,sigyy,sigxy
0, 0, -1.72067e+06, -1.69036e+06, -582.31
0.5, 0, -1.72051e+06, -1.6529e+06, -187.557
1, 0, -1.72034e+06, -1.61551e+06, 129.043
1.5, 0, -1.72017e+06, -1.57818e+06, 367.489
2, 0, -1.71998e+06, -1.54093e+06, 527.781
2.5, 0, -1.71978e+06, -1.5038e+06, 577.811
3, 0, -1.71946e+06, -1.46713e+06, 358.635
3.5, 0, -1.71915e+06, -1.43047e+06, 139.459
4, 0, -1.71883e+06, -1.3938e+06, -79.7166
4.5, 0, -1.71852e+06, -1.35714e+06, -298.892
5, 0, -1.71801e+06, -1.32059e+06, -198.527
5.5, 0, -1.71701e+06, -1.28453e+06, 563.273
6, 0, -1.71601e+06, -1.24881e+06, 1125.22
6.5, 0, -1.715e+06, -1.21341e+06, 1487.32
7, 0, -1.71399e+06, -1.17834e+06, 1649.58
7.5, 0, -1.71285e+06, -1.14365e+06, 1428.81
8, 0, -1.71128e+06, -1.10943e+06, 657.818
8.5, 0, -1.70959e+06, -1.07562e+06, -51.211
9, 0, -1.70778e+06, -1.0422e+06, -698.277
9.5, 0, -1.70586e+06, -1.00918e+06, -1283.38
10, 0, -1.7035e+06, -976465, -1200.91
10.5, 0, -1.70037e+06, -944032, 173.26
11, 0, -1.69732e+06, -912173, 1183.05
11.5, 0, -1.69437e+06, -880887, 1828.47
12, 0, -1.69151e+06, -850176, 2109.51
12.5, 0, -1.68857e+06, -820219, 1951.1
13, 0, -1.68443e+06, -791882, 1044.19
13.5, 0, -1.68032e+06, -763442, 143.818
14, 0, -1.67625e+06, -734898, -750.029
14.5, 0, -1.67221e+06, -706251, -1637.35
15, 0, -1.6682e+06, -677501, -2518.14
15.5, 0, -1.66223e+06, -650217, -850.487
16, 0, -1.65652e+06, -623595, 436.3
16.5, 0, -1.65108e+06, -597626, 1322.55
17, 0, -1.64592e+06, -572310, 1808.28
17.5, 0, -1.64104e+06, -547647, 1893.47
18, 0, -1.63518e+06, -524411, 1266.94
18.5, 0, -1.62859e+06, -501781, 370.234
19, 0, -1.62201e+06, -479151, -526.477
19.5, 0, -1.61542e+06, -456522, -1423.19
20, 0, -1.60884e+06, -433892, -2319.9
20.5, 0, -1.6017e+06, -412101, -2536.91
21, 0, -1.59337e+06, -392280, -1284.71
21.5, 0, -1.58518e+06, -372474, -215.196
22, 0, -1.57712e+06, -352683, 671.646
22.5, 0, -1.5692e+06, -332906, 1375.81
23, 0, -1.56141e+06, -313145, 1897.31
23.5, 0, -1.55333e+06, -295649, 1362.86
24, 0, -1.54512e+06, -278762, 545.931
24.5, 0, -1.53687e+06, -261924, -320.886
25, 0, -1.52859e+06, -245133, -1237.59
25.5, 0, -1.52027e+06, -228392, -2204.17
26, 0, -1.51144e+06, -212632, -2531.81
26.5, 0, -1.50188e+06, -198506, -1746.52
27, 0, -1.49248e+06, -184334, -1089.77
27.5, 0, -1.48324e+06, -170117, -561.561
28, 0, -1.47415e+06, -155854, -161.891
28.5, 0, -1.46523e+06, -141545, 109.24
29, 0, -1.45553e+06, -129061, -173.189
29.5, 0, -1.44546e+06, -117317, -643.698
30, 0, -1.4354e+06, -105574, -1113.94
30.5, 0, -1.42533e+06, -93830.3, -1583.92
31, 0, -1.41527e+06, -82087.3, -2053.64
31.5, 0, -1.40514e+06, -70586.8, -2384.32
32, 0, -1.39467e+06, -60723.3, -1867.39
32.5, 0, -1.38437e+06, -50985.2, -1437.29
33, 0, -1.37422e+06, -41372.6, -1094
33.5, 0, -1.36424e+06, -31885.5, -837.543
34, 0, -1.35443e+06, -22523.9, -667.902
34.5, 0, -1.34458e+06, -13442.5, -612.085
35, 0, -1.33416e+06, -5071.05, -710.427
35.5, 0, -1.32366e+06, 2973.75, -875.462
36, 0, -1.31306e+06, 10691.9, -1107.19
36.5, 0, -1.30237e+06, 18083.3, -1405.61
37, 0, -1.29159e+06, 25148, -1770.72
37.5, 0, -1.28098e+06, 31582.3, -1914.67
38, 0, -1.27068e+06, 37543.7, -1718.06
38.5, 0, -1.26038e+06, 43502.3, -1522.74
39, 0, -1.25008e+06, 49458, -1328.71
39.5, 0, -1.23978e+06, 55410.8, -1135.98
40, 0, -1.22948e+06, 61360.7, -944.533
40.5, 0, -1.21915e+06, 67067.1, -835.005
41, 0, -1.20875e+06, 72252.4, -799.406
41.5, 0, -1.19829e+06, 77221.7, -691.763
42, 0, -1.18777e+06, 81975, -512.075
42.5, 0, -1.17718e+06, 86512.2, -260.343
43, 0, -1.16654e+06, 90833.4, 63.4332
43.5, 0, -1.15629e+06, 94716.7, 280.778
44, 0, -1.14663e+06, 98235.6, 275.633
44.5, 0, -1.13697e+06, 101754, 270.486
45, 0, -1.12731e+06, 105273, 265.335
45.5, 0, -1.11765e+06, 108792, 260.183
